"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"4231","Eutamias_sibiricus",9272,107.98,56.56,9,9,9,1
"2021","Atelerix_sclateri",146,47.59,7.41,1,7,5,0.0147058823529412
"3222","Pseudomys_higginsi",46,146.66,-42.07,1,10,1,0.142857142857143
"832","Calomys_laucha",659,-58.95,-30.12,1,4,2,0.0204081632653061
"2092","Gerbillus_famulus",31,44.07,13.94,1,7,6,0.0434782608695652
"3854","Martes_pennanti",2293,-98.54,51.48,3,3,9,1
"2689","Ningaui_ridei",903,131.8,-25.36,1,9,3,0.0172413793103448
"272","Leopardus_guigna",190,-72.34,-40.78,1,3,2,0.0344827586206897
"4163","Lemmus_trimucronatus",5300,-75.05,65.65,6,3,10,1
"3793","Phodopus_campbelli",1101,106.44,45.48,2,8,8,0.0909090909090909
"3848","Glyphonycteris_sylvestris",2240,-66.68,0.46,3,3,5,1
"3703","Tadarida_aegyptiaca",1770,43,-5.17,2,7,4,1
"4174","Ictonyx_striatus",5509,23.09,-3.14,6,6,4,1
"4208","Mustela_eversmanii",7023,79.25,47.39,7,8,8,0.5
"3989","Mesechinus_dauuricus",2478,111.99,45.94,3,9,8,0.5
"4223","Ursus_maritimus",9409,-23.98,70.47,9,5,10,1
"4238","Sorex_tundrensis",11554,74.9,61.24,11,8,9,1
"3797","Urocitellus_undulatus",1487,103.22,51.6,2,8,9,0.333333333333333
"3999","Phenacomys_ungava",3165,-94.89,55.67,4,3,9,1
"3728","Rattus_exulans",1306,104.5,8.45,2,8,5,0.125
"3726","Megaderma_spasma",1879,105.49,9.71,2,8,5,0.125
"2207","Otomops_formosus",15,106.45,-6.52,1,8,4,0.2
"4251","Alces_alces",15585,18.81,58.67,15,6,9,1
"4000","Dicrostonyx_groenlandicus",3294,-90.02,71.25,4,3,10,1
"3912","Thryonomys_swinderianus",2798,20.09,-3.83,3,6,4,0.0833333333333333
"2262","Pongo_abelii",23,97.62,3.53,1,8,5,0.0136986301369863
"4205","Apodemus_agrarius",6365,71.25,48.56,7,7,8,0.5
"3841","Petaurus_breviceps",1276,142.37,-17.74,2,10,3,0.333333333333333
"4143","Lepus_capensis",4815,27,14.98,5,6,6,1
"31","Sigmodon_leucotis",150,-101.41,21.76,1,2,6,0.0416666666666667
"301","Ctenomys_fulvus",58,-68.66,-22.93,1,3,3,0.0285714285714286
"3979","Lemmus_sibiricus",2709,96.09,71.05,3,8,10,1
"4136","Crocuta_crocuta",5171,22.69,-0.79,5,6,5,0.142857142857143
"3798","Microtus_middendorffii",2058,106.46,69.89,2,8,10,0.5
"4198","Odocoileus_virginianus",6733,-92.84,34.34,7,3,7,1
"2284","Arctonyx_collaris",627,99.19,18.19,1,8,6,0.00666666666666667
"1338","Rupicapra_pyrenaica",32,0.89,42.7,1,5,8,0.0666666666666667
"3471","Lycalopex_culpaeus",1220,-70.57,-28.91,2,3,2,1
"3959","Bandicota_indica",2115,90.73,20.69,3,8,6,0.0769230769230769
"236","Ctenomys_haigi",28,-70.39,-41.61,1,3,1,0.0333333333333333
"4064","Talpa_europaea",3923,28.78,53.64,4,6,9,0.142857142857143
"4081","Microtus_gregalis",3727,99.46,56.25,4,8,9,1
"4031","Galictis_vittata",3593,-62.18,-1.82,4,4,5,0.5
"3489","Trinycteris_nicefori",1623,-67.56,1.47,2,3,5,0.0714285714285714
